ENTIDAD_RES,MUNICIPIO_RES,naci_19,tasa_nat,muer_19,tasa_mor
14,5,357,24.37192791,76,5.188421628
14,6,1024,17.85838856,457,7.970003488
14,7,154,17.31115108,64,7.194244604
14,8,1596,21.91946382,373,5.122781959
14,9,431,24.56540325,105,5.984611
14,10,167,25.09391435,36,5.409466566
14,11,111,20.55555556,46,8.518518519
14,12,47,11.42162819,48,11.66464156
14,13,1316,22.80090788,337,5.838834312
14,14,122,14.74142098,70,8.458192363
14,15,1049,18.22477805,392,6.810403238
14,16,828,21.62388029,237,6.189443995
14,17,231,18.24068225,83,6.554011371
14,18,1304,20.28971977,517,8.044313744
14,19,237,34.75073314,24,3.519061584
14,20,198,19.74274604,38,3.789011866
14,21,355,16.53084983,133,6.193247963
14,22,779,19.96412096,144,3.690415172
14,23,1823,18.13316888,638,6.346111763
14,24,502,19.17933827,237,9.054787193
14,25,376,20.78381516,113,6.246199768
14,26,101,17.02342828,47,7.921793359
14,27,317,18.3004272,84,4.849324558
14,28,42,19.34592354,20,9.212344542
14,29,337,18.93790391,102,5.731947176
14,30,1036,21.21255554,414,8.47683204
14,31,69,18.29753381,14,3.712543092
14,32,145,24.93980048,43,7.395940832
14,33,402,19.02328223,136,6.43573727
14,34,56,26.89721422,20,9.606147935
14,35,1063,20.68254339,266,5.175500039
14,36,364,19.53628167,111,5.957492486
14,37,452,18.95575592,179,7.506814846
14,38,81,18.7369882,27,6.245662734
14,39,23026,15.40005979,18161,12.14629054
14,40,177,17.21120187,34,3.306106573
14,41,83,13.64234057,45,7.396449704
14,42,204,23.23197813,62,7.060699237
14,43,359,15.32354448,108,4.609868533
14,44,976,23.77009255,128,3.117389187
14,45,394,20.73138648,109,5.735332807
14,46,800,25.04069112,163,5.102040816
14,47,520,22.72627945,137,5.987500546
14,48,352,18.89020071,118,6.332510465
14,49,116,12.15295966,25,2.619172342
14,50,977,23.17142586,248,5.881794896
14,51,364,27.53820548,64,4.841882282
14,52,101,18.31368994,53,9.610154125
14,53,3253,21.14850764,836,5.435029938
14,54,95,17.27586834,52,9.456264775
14,55,478,22.41921111,203,9.521129403
14,56,16,6.356773937,7,2.781088598
14,57,80,21.30492676,25,6.657789614
14,58,220,15.44401544,109,7.651807652
14,59,259,19.58412098,69,5.217391304
14,60,129,21.37885317,41,6.794829301
14,61,818,45.23335545,73,4.03671754
14,62,52,14.54952434,33,9.233351987
14,63,1768,19.01750083,576,6.195746878
14,64,662,21.99554773,109,3.621623418
14,65,188,15.51283109,63,5.198448717
14,66,1333,27.53677078,295,6.094034044
14,67,4695,18.36272543,1473,5.761085102
14,68,216,18.58384238,102,8.775703347
14,69,149,17.14417213,58,6.67357036
14,70,3624,26.21793295,507,3.667906183
14,71,85,26.76322418,13,4.093198992
14,72,181,27.23032947,35,5.265533323
14,73,1565,23.99607476,340,5.213204741
14,74,354,22.90669082,88,5.694318623
14,75,71,18.87293993,24,6.379585327
14,76,66,19.38325991,21,6.167400881
14,77,493,18.74097164,244,9.275450468
14,78,618,19.82930116,192,6.160559584
14,79,289,20.62665049,101,7.208621797
14,80,95,16.50738488,36,6.255430061
14,81,51,13.68760064,27,7.246376812
14,82,659,18.9210141,207,5.943323093
14,83,1498,21.70039547,429,6.214599238
14,84,260,18.04302568,90,6.245662734
14,85,789,20.7708103,282,7.423787711
14,86,520,28.73563218,97,5.360300619
14,87,285,16.91695851,111,6.588710156
14,88,313,18.88614011,129,7.783744645
14,89,93,26.48818001,23,6.550840216
14,90,127,18.01162956,60,8.509431286
14,91,752,18.7507792,239,5.959356689
14,92,148,13.65691612,105,9.689028329
14,93,3186,23.40530256,763,5.605224686
14,94,869,21.35292528,229,5.626950389
14,95,148,16.28521127,82,9.022887324
14,96,468,22.43850985,152,7.287721149
14,97,9937,23.85112787,394,0.9456923
14,98,12093,19.88607399,10393,17.09054552
14,99,194,20.22729642,50,5.213220728
14,100,653,18.63052782,121,3.452211127
14,101,8020,16.75409295,890,1.859244729
14,102,63,10.62394604,73,12.31028668
14,103,119,16.40022051,33,4.547960309
14,104,74,16.6854566,36,8.117249154
14,105,434,19.84362855,136,6.218279914
14,106,103,24.32687766,26,6.140765234
14,107,155,24.54084864,45,7.124762508
14,108,606,17.7286291,209,6.114329179
14,109,360,20.77922078,110,6.349206349
14,110,248,18.05343234,127,9.245104462
14,111,177,26.39821029,36,5.369127517
14,112,119,20.52431873,43,7.416350466
14,113,309,20.182887,126,8.229915088
14,114,324,19.09364135,132,7.778890919
14,115,123,21.8162469,42,7.44945016
14,116,394,21.05713217,72,3.848003848
14,117,100,24.08477842,31,7.46628131
14,118,440,19.7451086,208,9.334051337
14,119,575,20.60858034,208,7.454929931
14,120,21112,16.97439048,2649,2.129838972
14,121,573,19.62866539,230,7.878870924
14,122,141,21.09199701,34,5.086013463
14,123,330,18.76599374,94,5.345464885
14,124,1458,22.91155949,323,5.07574329
14,125,540,30.63655963,84,4.765687053
15,1,1364,22.39075479,310,5.088807906
15,2,1626,11.90702852,367,2.687502746
15,3,917,20.45824688,193,4.305825134
15,4,343,23.08831449,65,4.375336564
15,5,3325,22.51901418,439,2.973187135
15,6,228,20.94433217,48,4.409333088
15,7,593,25.93143257,119,5.203778205
15,8,474,17.99954432,150,5.696058328
15,9,923,19.06197724,401,8.281530741
15,10,528,19.18534937,81,2.943207006
15,11,1010,17.9577903,160,2.844798464
15,12,257,24.95387902,42,4.078065832
15,13,6917,14.11814172,1779,3.631079098
15,14,2177,23.22926225,628,6.700953926
15,15,600,21.68962152,134,4.844015472
15,16,439,17.17594585,252,9.859540671
